time;Bx;By;Bz;Btotal
0;0,34;14,60;-52,67;54,66
0,09500002861022949;0,25;14,65;-52,88;54,87
0,19700002670288086;0,29;14,50;-52,58;54,54
0,2949998378753662;0,27;14,76;-52,90;54,92
0,39800000190734863;0,18;14,70;-53,06;55,06
0,5019998550415039;0,12;14,83;-53,11;55,14
0,6089999675750732;0,15;14,61;-53,24;55,20
0,7139999866485596;0,18;14,56;-52,85;54,82
0,8179998397827148;0,18;14,63;-53,00;54,98
0,9240000247955322;0,10;14,72;-53,10;55,10
1,0479998588562012;0,15;14,68;-52,87;54,87
1,1470000743865967;0,24;14,70;-52,68;54,70
1,246000051498413;0,20;14,65;-53,12;55,10
1,3469998836517334;0,19;14,67;-52,89;54,89
1,4479999542236328;0,04;14,78;-53,43;55,43
1,553999900817871;0,13;14,76;-53,16;55,18
1,6589999198913574;0,20;14,61;-53,02;54,99
1,7649998664855957;0,17;14,76;-52,86;54,88
1,86899995803833;0,13;14,88;-52,86;54,91
1,9749999046325684;0,09;14,87;-53,02;55,06
2,0989999771118164;0,14;14,95;-53,04;55,10
2,19599986076355;0,09;14,91;-52,95;55,01
2,2960000038146973;0,08;14,99;-52,97;55,05
2,3959999084472656;0,17;14,85;-52,91;54,95
2,499000072479248;0,12;15,01;-52,89;54,98
2,6039998531341553;0,18;14,96;-52,91;54,98
2,7100000381469727;0,09;14,90;-53,11;55,16
2,815000057220459;0,23;14,71;-52,72;54,74
2,9210000038146973;0,07;14,83;-52,79;54,83
3,0249998569488525;0,17;14,73;-52,60;54,62
3,1499998569488525;0,26;14,72;-52,72;54,73
3,246999979019165;0,17;14,74;-52,72;54,75
3,3510000705718994;0,24;14,71;-52,74;54,76
3,447000026702881;0,16;14,62;-52,68;54,67
3,550999879837036;0,13;14,74;-53,02;55,03
3,6549999713897705;0,19;14,74;-52,87;54,89
3,760999917984009;0,17;14,62;-52,66;54,65
3,865999937057495;0,28;14,52;-52,27;54,25
3,9709999561309814;0,11;14,70;-52,92;54,93
4,07699990272522;0,26;14,71;-53,08;55,08
4,198999881744385;0,27;14,62;-53,04;55,01
4,302000045776367;0,28;14,51;-52,62;54,59
4,398000001907349;0,15;14,80;-53,22;55,24
4,500999927520752;0,23;14,64;-53,10;55,08
4,601000070571899;0,11;14,85;-53,32;55,35
4,705999851226807;0,04;14,92;-53,37;55,42
4,812000036239624;0,14;14,84;-53,37;55,40
4,91700005531311;0,18;14,85;-53,27;55,30
5,022000074386597;0,17;14,75;-53,06;55,08
5,126999855041504;0,21;14,89;-53,03;55,08
5,25;0,10;15,18;-53,17;55,29
5,349999904632568;0,15;14,83;-52,99;55,03
5,450000047683716;0,13;14,85;-53,19;55,23
5,549999952316284;-0,01;15,03;-53,10;55,18
5,6519999504089355;0,14;14,93;-52,94;55,01
5,756999969482422;0,18;14,80;-53,09;55,12
5,86299991607666;0,08;14,81;-52,99;55,02
5,9670000076293945;0,08;14,82;-53,04;55,08
6,072999954223633;0,16;14,80;-53,32;55,34
6,177999973297119;0,13;14,89;-53,00;55,05
6,302000045776367;0,22;14,75;-53,10;55,11
6,4019999504089355;0,17;14,98;-52,91;54,99
6,500999927520752;0,20;14,76;-52,99;55,01
6,602999925613403;0,11;14,83;-53,05;55,08
6,703000068664551;0,18;14,61;-52,91;54,89
6,807999849319458;0,23;14,68;-52,98;54,97
6,914000034332275;0,28;14,67;-52,90;54,89
7,017999887466431;0,16;14,76;-52,82;54,84
7,124000072479248;0,25;14,52;-52,29;54,27
7,305000066757202;0,26;14,53;-52,70;54,67
7,4029998779296875;0,20;14,67;-52,52;54,54
7,503000020980835;0,28;14,43;-52,52;54,47
7,601999998092651;0,26;14,67;-52,56;54,57
7,703000068664551;0,20;14,68;-52,64;54,65
7,802999973297119;0,23;14,78;-52,64;54,67
7,9029998779296875;0,28;14,66;-52,58;54,59
8,000999927520752;0,23;14,51;-52,55;54,51
8,102999925613403;0,31;14,45;-52,43;54,38
8,20300006866455;0,26;14,57;-52,56;54,54
8,302000045776367;0,31;14,51;-52,42;54,39
8,401999950408936;0,28;14,49;-52,06;54,04
8,500999927520752;0,21;14,64;-52,27;54,28
8,602999925613403;0,25;14,64;-52,29;54,30
8,70199990272522;0,10;14,64;-52,74;54,73
8,803999900817871;0,18;14,59;-53,21;55,17
8,90499997138977;0,06;14,86;-52,97;55,01
9,003000020980835;0,11;14,78;-52,93;54,95
9,103999853134155;0,07;14,85;-52,81;54,85
9,20300006866455;0,23;14,61;-52,87;54,85
9,303999900817871;0,13;14,65;-53,01;55,00
