time;Bx;By;Bz;Btotal
0;-0,30;15,63;-52,21;54,50
0,10599994659423828;-0,40;16,00;-53,13;55,49
0,21200013160705566;-0,52;15,99;-53,25;55,60
0,33299994468688965;-0,50;16,17;-52,92;55,33
0,43400001525878906;-0,56;15,97;-53,20;55,54
0,5360000133514404;-0,48;15,94;-52,91;55,26
0,6360001564025879;-0,39;15,81;-52,68;55,01
0,7360000610351562;-0,45;15,85;-52,84;55,17
0,8420000076293945;-0,63;16,03;-52,95;55,32
0,9479999542236328;-0,51;16,10;-52,90;55,30
1,0529999732971191;-0,45;16,06;-53,01;55,40
1,1590001583099365;-0,42;16,03;-52,89;55,27
1,2639999389648438;-0,50;16,08;-52,97;55,36
1,3840000629425049;-0,40;16,08;-52,99;55,38
1,4860000610351562;-0,26;15,96;-52,53;54,90
1,5840001106262207;-0,30;15,79;-52,40;54,73
1,684999942779541;-0,40;15,90;-52,52;54,88
1,7880001068115234;-0,47;15,83;-52,55;54,88
1,8919999599456787;-0,50;16,07;-52,60;55,00
1,999000072479248;-0,51;16,18;-52,69;55,12
2,1040000915527344;-0,38;16,15;-52,62;55,05
2,2090001106262207;-0,49;16,05;-52,54;54,93
2,314000129699707;-0,33;15,99;-52,62;54,99
2,4600000381469727;-0,40;16,05;-52,68;55,08
2,559999942779541;-0,33;15,96;-52,48;54,86
2,6600000858306885;-0,36;16,05;-52,42;54,83
2,759999990463257;-0,39;16,09;-52,40;54,82
2,8600001335144043;-0,35;16,02;-52,62;55,00
2,9600000381469727;-0,45;16,06;-52,50;54,91
3,059999942779541;-0,41;15,99;-52,61;54,99
3,1600000858306885;-0,37;16,02;-52,41;54,80
3,259999990463257;-0,43;16,15;-52,38;54,81
3,3600001335144043;-0,34;16,00;-52,38;54,77
3,4600000381469727;-0,36;16,09;-52,45;54,86
3,561000108718872;-0,37;16,22;-52,33;54,79
3,6610000133514404;-0,39;16,20;-52,58;55,02
3,759999990463257;-0,45;15,98;-52,53;54,91
3,8610000610351562;-0,46;15,96;-52,50;54,87
3,9609999656677246;-0,39;15,79;-52,47;54,79
4,061000108718872;-0,45;15,81;-52,38;54,72
4,16100001335144;-0,39;15,85;-52,52;54,86
4,261000156402588;-0,51;15,84;-52,52;54,86
4,361000061035156;-0,47;16,04;-52,42;54,82
4,460000038146973;-0,47;15,90;-52,35;54,72
4,561000108718872;-0,36;16,02;-52,40;54,79
4,66100001335144;-0,42;16,00;-52,62;55,00
4,761000156402588;-0,37;15,88;-52,52;54,87
4,861000061035156;-0,40;15,96;-52,54;54,91
4,960999965667725;-0,40;15,97;-52,70;55,07
5,061000108718872;-0,42;15,92;-52,56;54,92
5,161999940872192;-0,31;15,87;-52,66;55,00
5,26200008392334;-0,39;15,94;-52,86;55,21
5,361999988555908;-0,36;16,01;-52,65;55,03
5,462000131607056;-0,31;15,94;-52,85;55,20
5,562000036239624;-0,36;15,91;-52,72;55,07
5,661999940872192;-0,41;15,93;-52,64;55,00
5,76200008392334;-0,33;15,93;-52,68;55,03
5,861999988555908;-0,29;16,03;-52,65;55,03
5,962000131607056;-0,35;15,97;-52,51;54,89
6,062000036239624;-0,42;15,97;-52,42;54,80
6,161999940872192;-0,33;16,02;-52,61;54,99
6,26200008392334;-0,30;15,81;-52,37;54,70
6,363000154495239;-0,39;16,04;-52,37;54,77
6,463000059127808;-0,33;16,00;-52,50;54,88
6,562999963760376;-0,35;15,93;-52,05;54,44
6,663000106811523;-0,32;15,90;-52,12;54,49
6,76200008392334;-0,32;16,03;-52,32;54,72
6,863000154495239;-0,34;16,03;-52,23;54,63
6,963000059127808;-0,33;15,85;-52,22;54,57
7,064000129699707;-0,36;15,91;-52,24;54,62
7,163000106811523;-0,34;15,79;-52,34;54,68
7,263999938964844;-0,46;15,93;-52,27;54,64
7,364000082015991;-0,39;15,89;-52,39;54,75
7,46399998664856;-0,43;16,01;-52,21;54,61
7,562999963760376;-0,34;15,92;-52,38;54,74
7,664000034332275;-0,32;15,95;-52,21;54,59
7,763999938964844;-0,31;15,92;-52,14;54,52
7,863000154495239;-0,31;15,81;-52,30;54,64
7,96399998664856;-0,36;16,00;-52,18;54,58
8,064000129699707;-0,42;15,84;-52,34;54,68
8,164000034332275;-0,39;15,98;-52,53;54,91
8,263999938964844;-0,49;16,13;-52,52;54,95
8,364000082015991;-0,35;15,94;-52,40;54,77
8,46399998664856;-0,42;15,88;-52,38;54,73
8,564000129699707;-0,33;15,81;-52,34;54,68
8,664000034332275;-0,37;15,91;-52,51;54,86
8,763999938964844;-0,42;15,93;-52,59;54,95
8,864000082015991;-0,43;15,93;-52,71;55,07
8,96500015258789;-0,35;15,90;-52,55;54,91
9,065000057220459;-0,43;16,03;-52,57;54,96
9,164000034332275;-0,43;15,86;-52,60;54,94
9,265000104904175;-0,46;15,93;-52,47;54,84
9,365000009536743;-0,43;15,92;-52,52;54,88
9,46500015258789;-0,42;15,80;-52,53;54,86
9,565000057220459;-0,34;15,74;-52,34;54,66
9,664999961853027;-0,45;15,93;-52,53;54,90
9,765000104904175;-0,48;15,78;-52,37;54,70
9,865000009536743;-0,52;15,78;-52,49;54,81
9,96500015258789;-0,44;15,98;-52,63;55,00
10,065000057220459;-0,41;15,85;-52,62;54,96
10,164999961853027;-0,38;15,76;-52,51;54,83
10,265000104904175;-0,44;15,83;-52,63;54,96
10,365000009536743;-0,40;15,78;-52,75;55,06
10,46500015258789;-0,36;15,70;-52,60;54,89
10,565000057220459;-0,24;15,66;-51,91;54,22
10,666000127792358;-0,32;15,71;-52,49;54,79
10,766000032424927;-0,37;15,69;-52,47;54,77
10,865999937057495;-0,34;15,78;-52,41;54,73
10,966000080108643;-0,35;15,63;-52,21;54,50
11,065999984741211;-0,42;15,87;-52,28;54,64
11,166000127792358;-0,25;15,68;-52,07;54,38
11,266000032424927;-0,34;15,75;-52,43;54,75
11,365999937057495;-0,29;15,82;-52,26;54,60
11,466000080108643;-0,36;15,66;-52,41;54,70
11,565999984741211;-0,35;15,64;-52,37;54,65
11,666000127792358;-0,33;15,89;-52,38;54,74
11,766000032424927;-0,31;15,69;-52,45;54,75
11,867000102996826;-0,36;15,81;-52,45;54,79
11,967000007629395;-0,27;15,67;-52,41;54,71
12,067000150680542;-0,39;15,63;-52,23;54,52
12,16700005531311;-0,26;15,54;-52,27;54,53
12,266999959945679;-0,40;15,72;-52,40;54,70
12,367000102996826;-0,37;15,66;-52,64;54,92
12,467000007629395;-0,46;15,88;-52,51;54,86
12,567000150680542;-0,41;15,79;-52,10;54,45
12,66700005531311;-0,33;15,82;-52,08;54,43
12,766999959945679;-0,36;15,73;-52,15;54,47
12,868000030517578;-0,38;15,95;-52,16;54,54
12,967999935150146;-0,45;15,97;-52,38;54,77
13,068000078201294;-0,48;16,04;-52,39;54,80
13,167999982833862;-0,47;16,09;-52,09;54,53
13,269000053405762;-0,53;16,13;-52,25;54,68
13,368000030517578;-0,42;16,08;-52,14;54,57
13,467999935150146;-0,38;16,12;-52,10;54,54
13,568000078201294;-0,42;15,91;-52,07;54,45
13,669000148773193;-0,51;15,99;-52,07;54,47
13,769000053405762;-0,49;15,94;-52,34;54,72
13,86899995803833;-0,41;15,97;-52,17;54,56
13,967999935150146;-0,36;15,89;-52,27;54,63
14,069000005722046;-0,46;16,01;-52,15;54,55
14,169000148773193;-0,45;16,11;-52,33;54,75
14,26800012588501;-0,45;15,96;-52,27;54,65
14,36899995803833;-0,43;15,99;-52,30;54,70
14,469000101089478;-0,47;16,04;-52,36;54,76
14,569000005722046;-0,44;16,10;-52,07;54,51
14,669000148773193;-0,33;16,07;-52,22;54,64
14,769999980926514;-0,45;16,18;-52,29;54,73
14,86899995803833;-0,45;15,95;-52,11;54,49
14,969000101089478;-0,37;15,94;-52,42;54,79
15,069000005722046;-0,47;16,10;-52,25;54,67
15,170000076293945;-0,45;15,98;-52,21;54,60
15,269999980926514;-0,40;15,97;-52,05;54,44
15,370000123977661;-0,27;15,74;-52,09;54,41
15,47000002861023;-0,42;15,96;-52,32;54,70
15,569999933242798;-0,43;15,88;-52,28;54,64
15,669000148773193;-0,43;15,98;-52,55;54,93
15,769999980926514;-0,44;15,98;-52,31;54,69
15,870000123977661;-0,43;15,89;-52,37;54,72
15,97000002861023;-0,41;15,95;-52,26;54,64
16,069999933242798;-0,38;15,99;-52,33;54,72
16,170000076293945;-0,41;15,96;-52,22;54,61
16,269999980926514;-0,36;15,88;-52,16;54,52
16,37000012397766;-0,39;16,03;-52,29;54,70
16,47000002861023;-0,42;15,96;-52,16;54,55
16,57100009918213;-0,46;16,05;-52,55;54,95
16,671000003814697;-0,42;15,93;-52,39;54,76
16,769999980926514;-0,44;16,04;-52,30;54,70
16,871000051498413;-0,48;16,13;-52,29;54,72
16,97099995613098;-0,40;16,00;-52,51;54,90
17,07100009918213;-0,37;15,80;-52,43;54,76
17,171000003814697;-0,45;15,99;-52,55;54,93
