time;Bx;By;Bz;Btotal
0;-8,88;-9,54;-53,26;54,83
0,09999990463256836;-9,27;-9,99;-53,38;55,09
0,19999980926513672;-9,74;-9,48;-53,38;55,09
0,2999999523162842;-11,31;-8,79;-53,20;55,09
0,39999985694885254;-15,44;-6,52;-52,30;54,92
0,5;-22,98;-1,44;-49,88;54,94
0,5999999046325684;-32,24;0,80;-44,47;54,93
0,6999998092651367;-40,69;2,77;-36,70;54,86
0,7999999523162842;-49,03;-4,45;-22,41;54,09
0,8999998569488525;-51,84;-12,97;-4,23;53,61
1,0;-49,27;-16,31;11,65;53,19
1,1009998321533203;-43,33;-14,29;27,17;53,11
1,1999998092651367;-36,62;-10,48;36,77;52,94
1,3009998798370361;-28,43;-3,75;44,68;53,10
1,4009997844696045;-25,16;8,04;46,38;53,38
1,500999927520752;-23,17;22,82;42,69;53,66
1,6009998321533203;-23,89;36,56;32,64;54,52
1,7009999752044678;-28,61;43,32;18,54;55,13
1,8009998798370361;-38,57;38,28;7,57;54,87
1,9009997844696045;-47,82;25,80;0,06;54,34
2,000999927520752;-52,09;8,60;-10,42;53,81
2,1009998321533203;-47,98;-5,20;-23,68;53,75
2,2009999752044678;-39,98;-12,21;-33,84;53,78
2,300999879837036;-30,71;-13,38;-42,87;54,41
2,4009997844696045;-24,18;-6,30;-48,52;54,58
2,500999927520752;-19,62;7,42;-50,83;54,99
2,6019999980926514;-23,22;12,68;-48,05;54,85
2,7019999027252197;-33,58;17,07;-39,58;54,64
2,801999807357788;-45,19;15,07;-26,54;54,53
2,9019999504089355;-51,51;14,29;-10,06;54,39
3,001999855041504;-53,11;7,66;3,16;53,75
3,1019999980926514;-51,33;-1,32;14,09;53,25
3,2019999027252197;-48,94;-6,86;19,57;53,15
3,301999807357788;-40,75;-16,07;29,42;52,77
3,4019999504089355;-29,77;-18,45;39,73;52,96
3,502999782562256;-21,39;-14,24;45,95;52,65
3,6029999256134033;-18,27;-6,44;49,12;52,81
3,7019999027252197;-15,29;6,41;50,26;52,92
3,801999807357788;-18,05;20,25;45,92;53,33
3,9019999504089355;-23,23;31,28;37,71;54,22
4,001999855041504;-32,80;36,35;24,83;54,90
4,102999925613403;-43,86;30,45;11,61;54,64
4,202999830245972;-50,34;20,22;-1,48;54,27
4,302999973297119;-51,58;8,79;-13,69;54,09
4,4029998779296875;-47,80;0,72;-25,42;54,15
4,502999782562256;-42,76;-6,77;-32,78;54,31
4,602999925613403;-36,02;-10,00;-39,84;54,63
4,702999830245972;-27,95;-10,61;-46,14;54,98
4,802999973297119;-21,56;-8,95;-49,88;55,07
4,9029998779296875;-17,17;-2,47;-52,35;55,15
5,002999782562256;-17,80;2,19;-52,14;55,13
5,102999925613403;-24,01;6,09;-49,31;55,18
5,203999996185303;-35,65;7,38;-41,14;54,94
5,302999973297119;-47,88;3,56;-25,51;54,37
5,4029998779296875;-52,61;-8,06;-5,28;53,48
5,502999782562256;-47,05;-19,32;15,13;53,07
5,602999925613403;-29,27;-23,09;37,59;52,94
5,703999996185303;-16,32;-20,58;45,86;52,85
5,803999900817871;-4,78;-16,45;49,60;52,47
5,9039998054504395;1,01;-8,97;51,71;52,50
6,003999948501587;4,38;1,67;52,17;52,38
6,103999853134155;5,96;22,26;47,40;52,71
6,203999996185303;-3,00;33,46;41,93;53,73
6,303999900817871;-13,47;40,44;34,06;54,56
6,4039998054504395;-24,77;39,97;28,14;54,80
6,504999876022339;-35,23;35,19;22,76;54,75
6,603999853134155;-44,88;24,96;17,86;54,37
6,704999923706055;-51,60;12,82;8,27;53,80
6,803999900817871;-53,22;2,37;-6,22;53,64
6,9049999713897705;-50,28;-2,19;-19,14;53,84
7,003999948501587;-45,75;-5,64;-27,82;53,84
7,104999780654907;-41,09;-6,44;-34,46;54,01
7,204999923706055;-35,08;-5,51;-40,96;54,21
7,304999828338623;-28,76;-3,71;-46,29;54,62
7,4049999713897705;-23,23;0,78;-49,06;54,29
